appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
613130,Mega Overload VR,Subdream Studios,Subdream Studios,,34,1,0,"0 .. 20,000",347,0,347,0,1499,1499,0,1
616000,Riptale,Super God,Super God,,93,12,0,"0 .. 20,000",0,0,0,0,599,599,0,0
528260,TITAN SLAYER,"COLOPL, Inc.","COLOPL, Inc.",,66,17,0,"0 .. 20,000",0,0,0,0,1299,1299,0,0
619490,Fear of Clowns,Mikhail Nevsky,Mikhail Nevsky,,117,56,0,"0 .. 20,000",0,0,0,0,69,99,30,0
509610,Beachhead 2000,Digital Fusion Inc.,Digital Fusion Inc.,,10,28,0,"0 .. 20,000",0,0,0,0,299,299,0,0
619480,"Rock, Ken, Bo",Xelphyre Games,Xelphyre Games,,5,2,0,"0 .. 20,000",0,0,0,0,399,399,0,0
553950,GRIDD: Retroenhanced,Antab Studio,Kongregate,,60,3,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
632170,Spartan Fist,Glass Bottom Games,Glass Bottom Games,,29,17,0,"0 .. 20,000",0,0,0,0,224,1499,85,0
604230,Unlasting Horror,Matt Sowards,Ravesta Games,,65,43,0,"0 .. 20,000",0,0,0,0,799,799,0,0
416700,5 Minutes Rage - Hatred Edition,Indomitus Games,Gamera Interactive,,19,8,0,"0 .. 20,000",0,0,0,0,799,799,0,0
574160,Senko no Ronde 2,G.rev Ltd.,"Komodo, KADOKAWA CORP.",,39,11,0,"0 .. 20,000",0,0,0,0,3999,3999,0,0
635270,Through The Dark: Prologue,6waves,6waves,,1,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
595030,Please,Mute Canary,Mute Canary,,5,13,0,"0 .. 20,000",0,0,0,0,99,99,0,0
594820,An Oath to the Stars,Himeki Games,Himeki Games,,12,8,0,"0 .. 20,000",0,0,0,0,0,0,0,0
603930,Battle Princess Madelyn,Causal Bit Games Inc.,Monster Bath Studios Inc.,,100,36,0,"0 .. 20,000",139,0,139,0,1999,1999,0,0
641980,Block Survival: Legend of the Lost Islands,Battle Blockyverse Studios,Battle Blockyverse Studios,,64,12,0,"0 .. 20,000",134,0,146,0,99,99,0,0
588880,Crush,VIS-Games,SilentFuture,,18,3,0,"0 .. 20,000",0,0,0,0,599,1199,50,1
