appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,Final Price_$,Initial Price_$,Discount_$,Total Score, Mark ,Tier
1843090,27,[Chilla's Art] The Closing Shift | 閉店事件,Chilla's Art,Chilla's Art,,1057,172,0,"20,000 .. 50,000",143,0,143,0,539,599,10,15,0,5.39,5.99,1229,86,L
12530,0,Hunting Unlimited 2008,SCS Software,Ziggurat,,46,10,0,"20,000 .. 50,000",0,0,0,0,999,999,0,1,0,9.99,9.99,56,82,L
32770,6,Joint Operations: Combined Arms Gold,NovaLogic,"NovaLogic, THQ Nordic",,207,27,0,"20,000 .. 50,000",0,0,0,0,1999,1999,0,9,0,19.99,19.99,234,88,L
61730,0,Critter Crunch,Capybara Games,Capybara Games,,294,18,0,"20,000 .. 50,000",71,0,71,0,699,699,0,0,0,6.99,6.99,312,94,L
92700,0,Shadow Harvest: Phantom Ops,Black Lion Studios,Viva Media,,37,86,0,"20,000 .. 50,000",0,0,0,0,999,999,0,0,0,9.99,9.99,123,-70,L
104100,1,Inside a Star-filled Sky,Jason Rohrer,Jason Rohrer,,59,29,0,"20,000 .. 50,000",38,0,38,0,399,399,0,1,0,3.99,3.99,88,67,L
205070,0,BIT.TRIP VOID,Gaijin Games,Gaijin Games,,66,21,0,"20,000 .. 50,000",113,0,133,0,999,999,0,0,0,9.99,9.99,87,76,L
266250,0,Procyon,Deadly Red Cube,Deadly Red Cube,,104,14,0,"20,000 .. 50,000",218,0,218,0,399,399,0,0,0,3.99,3.99,118,88,L
276730,0,Tango Fiesta – 80’s Action Film meets 2D Top Down Multiplayer Co-Op Roguelike Military Shooter,Spilt Milk Studios Ltd,Spilt Milk Studios Ltd,,41,31,0,"20,000 .. 50,000",55,0,55,0,999,999,0,0,0,9.99,9.99,72,57,L
290320,0,Project Temporality,Defrost Games,Defrost Games,,85,17,0,"20,000 .. 50,000",254,0,254,0,1499,1499,0,0,0,14.99,14.99,102,83,L
296730,0,Viktor,Shorebound Studios,Shorebound Studios,,161,66,0,"20,000 .. 50,000",0,0,0,0,799,799,0,0,0,7.99,7.99,227,71,L
301300,3,Chicken Invaders 4,InterAction studios,InterAction studios,,407,10,0,"20,000 .. 50,000",522,0,1000,0,499,499,0,6,0,4.99,4.99,417,98,L
312230,1,Spirits of Xanadu,"Good Morning, Commander",Nightdive Studios,,327,91,0,"20,000 .. 50,000",0,0,0,0,499,499,0,1,0,4.99,4.99,418,78,L
321940,0,Moorhuhn: Tiger and Chicken,Deck 13,Young Fun Studio by Higgs Games GmbH,,41,12,0,"20,000 .. 50,000",0,0,0,0,499,499,0,0,0,4.99,4.99,53,77,L
334840,0,Drive to Hell,Ghost Crab Games,Ghost Crab Games,,56,15,0,"20,000 .. 50,000",0,0,0,0,499,499,0,0,0,4.99,4.99,71,79,L
340440,1,Grand Class Melee 2,Ogopogoid Entertainment,Ogopogoid Entertainment,,37,11,0,"20,000 .. 50,000",0,0,0,0,499,499,0,0,0,4.99,4.99,48,77,L
341530,0,Stardust Vanguards,Zanrai Interactive,Zanrai Interactive,,81,18,0,"20,000 .. 50,000",256,0,324,0,399,399,0,0,0,3.99,3.99,99,82,L
358960,1,Canabalt,"Finji, Kittehface Software",Finji,,220,35,0,"20,000 .. 50,000",0,0,0,0,299,299,0,1,0,2.99,2.99,255,86,L
361350,1,Skyhook,Megastorm Games,Megastorm Games,,105,17,0,"20,000 .. 50,000",42,65,42,65,499,499,0,5,0.65,4.99,4.99,122,86,L
371550,0,A Bastard's Tale,No Pest Productions,No Pest Productions,,265,59,0,"20,000 .. 50,000",138,0,138,0,499,499,0,0,0,4.99,4.99,324,82,L
373360,0,Cast of the Seven Godsends - Redux,Raven Travel Studios,"Merge Publishing, IV Productions",,94,61,0,"20,000 .. 50,000",0,0,0,0,999,999,0,0,0,9.99,9.99,155,61,L
367080,0,Songbringer,Wizard Fu,"Wizard Fu, Double Eleven",,196,53,0,"20,000 .. 50,000",172,0,316,0,1999,1999,0,0,0,19.99,19.99,249,79,L
332620,0,PONCHO,Delve Interactive,Rising Star Games,,122,62,0,"20,000 .. 50,000",332,0,332,0,599,599,0,0,0,5.99,5.99,184,66,L
389190,0,Goblins and Grottos,"Psychic Software, Goblin Portal, Psychic Games Ltd.","Psychic Software, Goblin Portal",,57,26,0,"20,000 .. 50,000",225,0,225,0,899,899,0,0,0,8.99,8.99,83,69,L
419500,0,Red Game Without A Great Name,iFun4all S.A.,iFun4all S.A.,,69,9,0,"20,000 .. 50,000",249,0,259,0,0,0,0,0,0,0,0,78,88,L
432500,0,Evertown,cg-imagine,cg-imagine,,46,61,0,"20,000 .. 50,000",0,0,0,0,199,199,0,0,0,1.99,1.99,107,-57,L
414510,0,5089: The Action RPG,Phr00t's Software,Phr00t's Software,,264,53,0,"20,000 .. 50,000",45,0,45,0,799,799,0,1,0,7.99,7.99,317,83,L
319870,3,Jenny LeClue - Detectivu,Mografi,Mografi,,834,113,0,"20,000 .. 50,000",182,0,182,0,1999,1999,0,5,0,19.99,19.99,947,88,L
241760,0,Kill to Collect,Pieces Interactive,"HandyGames, Pieces Interactive",,185,81,0,"20,000 .. 50,000",166,0,294,0,999,999,0,0,0,9.99,9.99,266,70,L
438790,0,Random Access Murder,Team Murder,Team Murder,,38,125,0,"20,000 .. 50,000",5,0,5,0,99,99,0,0,0,0.99,0.99,163,-77,L
514390,0,PooShooter: Toilet Invaders,FergaTroid Studios,FergaTroid Studios,,64,25,0,"20,000 .. 50,000",8722,0,8722,0,0,0,0,0,0,0,0,89,72,L
501480,1,Lost Socks: Naughty Brothers,Nerf Game Co. Ltd.,Nerf Game Co. Ltd.,,45,5,0,"20,000 .. 50,000",414,0,415,0,999,999,0,1,0,9.99,9.99,50,90,L
447950,0,Bad Caterpillar,Fun Infused Games,Fun Infused Games,,100,7,0,"20,000 .. 50,000",0,0,0,0,199,199,0,0,0,1.99,1.99,107,93,L
312560,3,Xanadu Next,Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",,399,31,0,"20,000 .. 50,000",878,0,1754,0,1499,1499,0,3,0,14.99,14.99,430,93,L
540100,0,Imprisoned Light,imaginite Ltd,imaginite Ltd,,131,71,0,"20,000 .. 50,000",63,0,63,0,99,99,0,0,0,0.99,0.99,202,65,L
