appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
994280,古剑奇谭三(Gujian3),"上海烛龙信息科技有限公司, Aurogon Shanghai",北京网元圣唐娱乐科技有限公司,,36754,5824,0,"500,000 .. 1,000,000",1311,2971,746,2971,2999,2999,0,434
254060,KnightShift,Reality Pump,Topware Interactive,,772,399,0,"500,000 .. 1,000,000",290,0,297,0,699,699,0,216
22100,Mount & Blade,TaleWorlds Entertainment,TaleWorlds Entertainment,,5198,416,0,"500,000 .. 1,000,000",815,0,233,0,249,999,75,127
493900,Dungeons 3,Realmforge Studios,Kalypso Media,,15957,924,0,"500,000 .. 1,000,000",754,0,321,0,989,2999,67,231
259680,Tales of Maj'Eyal,Netcore Games,Netcore Games,,5250,240,0,"500,000 .. 1,000,000",3526,41,2216,41,349,699,50,188
724970,神舞幻想 Faith of Danschant,北京九鳳信息科技有限公司,北京网元圣唐娱乐科技有限公司,,2719,1769,0,"500,000 .. 1,000,000",635,0,879,0,2999,2999,0,17
236690,Blood Bowl 2,Cyanide Studios,Nacon,,6189,1717,0,"500,000 .. 1,000,000",2023,170,1221,170,1999,1999,0,539
333600,NEKOPARA Vol. 1,NEKO WORKs,Sekai Project,,24597,1152,0,"500,000 .. 1,000,000",563,5,137,5,999,999,0,52
595520,FINAL FANTASY XII THE ZODIAC AGE,Square Enix,Square Enix,,5496,625,0,"500,000 .. 1,000,000",3924,66,1909,66,4999,4999,0,228
40700,Machinarium,Amanita Design,Amanita Design,,10549,495,0,"500,000 .. 1,000,000",286,0,277,0,1499,1499,0,25
1444740,Maniac Path,"Falco Software, Laush Dmitriy Sergeevich",Laush Studio,,5,3,0,"500,000 .. 1,000,000",0,0,0,0,299,299,0,0
1301720,Escape Room - Der kranke Kollege,Bitbeast Games,Bitbeast Games,,7320,929,0,"500,000 .. 1,000,000",75,6,66,6,0,0,0,56
377300,Thunder Tier One,"KRAFTON, Inc.","KRAFTON, Inc.",,2607,1050,0,"500,000 .. 1,000,000",446,0,627,0,1999,1999,0,18
215280,Secret World Legends,Funcom,Funcom,,5699,2818,0,"500,000 .. 1,000,000",798,0,157,0,0,0,0,82
1418630,Dread Hunger,Dread Hunger Team,Digital Confectioners,,23620,14955,0,"500,000 .. 1,000,000",9614,1268,3181,836,2249,2999,25,11953
512900,Streets of Rogue,Matt Dabrowski,tinyBuild,,16050,608,0,"500,000 .. 1,000,000",1146,99,502,161,1999,1999,0,379
362960,Tyranny,Obsidian Entertainment,Paradox Interactive,,9711,1470,0,"500,000 .. 1,000,000",1007,0,542,0,2999,2999,0,121
285310,RollerCoaster Tycoon: Deluxe,Chris Sawyer Productions,Atari,,5812,338,0,"500,000 .. 1,000,000",508,0,194,0,599,599,0,243
654880,Dream Daddy: A Dad Dating Simulator,Game Grumps,Game Grumps,,4870,445,0,"500,000 .. 1,000,000",421,0,427,0,1499,1499,0,11
747610,ZULA LatinoAmerica,Madbyte Games,Madbyte Games,,3576,1588,0,"500,000 .. 1,000,000",434,0,143,0,0,0,0,431
843380,Super Animal Royale,Pixile,Modus Games,,31065,1930,0,"500,000 .. 1,000,000",372,225,101,396,0,0,0,839
1520,DEFCON,Introversion Software,Introversion Software,,3079,468,0,"500,000 .. 1,000,000",265,0,37,0,999,999,0,22
